epoch,train loss,reg loss,train acc,test loss,test acc
0,4.245629518497281,0.0,tensor(27.4548),218.32562314547025,tensor(4.6683)
1,1.4175204002275699,0.0,tensor(39.0451),1.7817547137920673,tensor(30.2211)
2,1.2216735613055345,0.0,tensor(47.1698),2.132421218431913,tensor(23.3415)
3,0.8206755453493537,0.0,tensor(66.3458),11.28120554654071,tensor(39.3120)
4,0.6186922203476836,0.0,tensor(74.4705),0.7997347082083042,tensor(70.7617)
5,0.5038057120471466,0.0,tensor(79.8999),1.015747730118724,tensor(63.1450)
6,0.41088306358674676,0.0,tensor(83.1344),3.1317454582223525,tensor(58.4767)
7,0.5041493564480688,0.0,tensor(79.3608),0.7205824283166573,tensor(66.8305)
8,0.30028561975170925,0.0,tensor(87.6396),0.46509015858800223,tensor(77.1499)
9,0.27182093426221754,0.0,tensor(88.9488),0.30062494328460443,tensor(86.7322)
10,0.27244980596914525,0.0,tensor(88.8718),2.2455486127963433,tensor(58.9681)
11,0.3081537521466976,0.0,tensor(88.4482),1.661644892874532,tensor(55.7740)
12,0.28513451056872924,0.0,tensor(89.0258),3.649959956877865,tensor(40.7862)
13,0.27694122876017924,0.0,tensor(89.7574),0.5805044311743516,tensor(76.4128)
14,0.24498507571293088,0.0,tensor(90.2580),3.0911968674205093,tensor(55.7740)
15,0.2444898030470784,0.0,tensor(90.1810),0.6053578476779736,tensor(77.6413)
16,0.24245582589107315,0.0,tensor(91.4902),1.1198023446586376,tensor(66.5848)
17,0.3159368276005475,0.0,tensor(87.5241),0.3325196631581093,tensor(90.4177)
18,0.2294190943059398,0.0,tensor(91.6827),0.23595059514403915,tensor(91.8919)
19,0.22313950106319858,0.0,tensor(91.9137),2.0985977425449303,tensor(64.6192)
20,0.1696729988722903,0.0,tensor(93.8005),0.31909781503670204,tensor(85.0123)
21,0.2005799731194246,0.0,tensor(92.2988),0.24632047917335653,tensor(89.9263)
22,0.16118576745616225,0.0,tensor(93.9546),0.1876212977625143,tensor(92.6290)
23,0.14506250824324968,0.0,tensor(94.6092),0.33871868048579645,tensor(86.9779)
24,0.1691322755977148,0.0,tensor(93.7620),0.22296304058265656,tensor(91.6462)
25,0.19875520537039493,0.0,tensor(92.6454),1.6318248728684221,tensor(71.2531)
26,0.25350812527282934,0.0,tensor(91.5672),1.0093842970941647,tensor(71.2531)
27,0.15032415834777965,0.0,tensor(94.6477),1.4738753458592468,tensor(72.2359)
28,0.13685022321779552,0.0,tensor(94.5707),0.2357910752045707,tensor(91.4005)
29,0.13210003523201477,0.0,tensor(95.0712),0.1878072521447813,tensor(92.3833)
30,0.1715829141392577,0.0,tensor(93.3770),2.3101435124440637,tensor(60.9337)
