epoch,train loss,reg loss,train acc,test loss,test acc
0,2.9808277911169423,0.0,10.620889445662387,2.263117866239686,tensor(27.0080)
1,1.868127210499489,0.0,37.05762605699969,0.8997097203265065,tensor(72.1580)
2,1.1368607725882482,0.0,62.137879736924525,0.4757313744529434,tensor(85.5596)
3,0.5862705792116326,0.0,81.68454431569057,0.34926960374350136,tensor(89.7586)
4,0.9593623579423255,0.0,82.37066246153427,0.282980908734211,tensor(93.5187)
5,0.7934340261024971,0.0,85.96790201890506,0.21071170167862505,tensor(94.8939)
6,0.7499963493904722,0.0,87.02358177110513,0.23945700436614561,tensor(94.0892)
7,0.7059313041356678,0.0,87.28180656717896,0.16382490390020868,tensor(95.2890)
8,0.6452955248494088,0.0,88.47984597110816,0.18652387180001193,tensor(95.2304)
9,0.5869198229214917,0.0,89.51538935039513,0.18044049937979897,tensor(95.5230)
10,0.5742709352589284,0.0,90.17472137761409,0.20058075792115668,tensor(95.4353)
11,0.4718321774942243,0.0,92.00431235249818,0.14723627636398096,tensor(96.2546)
12,0.4629294334303901,0.0,92.22678204498322,0.13495810510948356,tensor(96.2399)
13,0.4695198343895419,0.0,91.74688878799529,0.13759544841351284,tensor(96.1229)
14,0.45374952013733744,0.0,92.51705606303551,0.13794647087680473,tensor(96.1961)
15,0.4438812967623108,0.0,92.36448675152809,0.1461295034547431,tensor(96.4301)
16,0.4348484776447547,0.0,92.65446684749999,0.14067079122785642,tensor(96.3277)
17,0.43676910265084584,0.0,92.656534728964,0.14164600081309892,tensor(96.2253)
18,0.4116448774485468,0.0,93.15585423957316,0.1556202783856703,tensor(96.1375)
19,0.4030610077482249,0.0,93.47058027882733,0.14196648205751958,tensor(96.0644)
20,0.44834355434945944,0.0,92.37876077775726,0.14505915650827944,tensor(96.1814)
21,0.43703196415998435,0.0,92.7892842099827,0.14717645588182454,tensor(96.2107)
22,0.42680335684393306,0.0,92.83164170030184,0.1457197459590068,tensor(96.2253)
23,0.42688426357710374,0.0,93.00852590545936,0.14691559735523618,tensor(96.1814)
24,0.39272063428813087,0.0,93.43877668392587,0.18032266339962033,tensor(96.1522)
25,0.4087118111867932,0.0,93.23110845371733,0.14552963301674396,tensor(96.1961)
26,0.3996348043287687,0.0,93.49255900650846,0.15117003576006685,tensor(96.1229)
27,0.454066006565164,0.0,92.51312569163348,0.15501687319382376,tensor(96.2253)
28,0.4489938354305558,0.0,92.39521496921347,0.1606232125474059,tensor(96.1522)
29,0.43643941662826535,0.0,92.57205704749089,0.14900894936822032,tensor(96.1522)
29,0.43643941662826535,0.0,92.57205704749089,0.15406275111907983,tensor(96.2783)
