epoch,train loss,reg loss,train acc,test loss,test acc

0,4.214236297875719,0.0,6.816557335456008,3.5802863693237303,tensor(14.2800)

1,3.8213847787178996,0.0,13.831129344020667,3.2264243292808534,tensor(20.6500)

2,3.5427056188168735,0.0,19.49568802908587,2.6992365670204164,tensor(30.5500)

3,3.2765083398355546,0.0,25.36379979077034,2.527780895233154,tensor(34.8600)

4,3.122856629169201,0.0,29.272514827610053,2.291335688829422,tensor(41.0400)

5,2.9907518079518662,0.0,32.69792703961111,1.975655574798584,tensor(48.7000)

6,2.912383322825517,0.0,34.32470572491412,1.855453336238861,tensor(51.5700)

7,2.800343447634021,0.0,37.27895755190961,1.7879058778285981,tensor(53.2500)

8,2.73586374475523,0.0,38.772344669306406,1.7411110234260558,tensor(54.1000)

9,2.656378361880017,0.0,40.59247397902713,1.649994548559189,tensor(56.5100)

10,2.6711732280223877,0.0,40.5077772997844,1.729157691001892,tensor(53.9100)

11,2.590492038775588,0.0,42.71719233367873,1.5313156068325042,tensor(60.2800)

12,2.5141414397817745,0.0,44.48302872324396,1.5885083413124084,tensor(57.9500)

13,2.4806239207077514,0.0,45.722996970552934,1.6238031375408173,tensor(59.2300)

14,2.498529393349767,0.0,44.9508564015681,1.5170252633094787,tensor(61.0300)

15,2.4040171310419924,0.0,47.876522998917025,1.4468046522140503,tensor(62.4100)

16,2.4628908186007643,0.0,45.80640213974111,1.4453601109981538,tensor(62.1900)

17,2.4132170774747648,0.0,47.282905487563646,1.4839166712760925,tensor(63.1300)

18,2.3497234117954284,0.0,48.68432433476333,1.3476758050918578,tensor(65.0600)

19,2.3619416089314025,0.0,48.35894560537702,1.4132576805353165,tensor(63.4100)

20,2.3057073386733795,0.0,50.15180155205489,1.4941681504249573,tensor(63.)

21,2.2525515402369485,0.0,51.03937823864294,1.3219864153862,tensor(64.5100)

22,2.264146514103541,0.0,51.22966812707765,1.4955953770875932,tensor(62.4500)

23,2.265927619641394,0.0,51.233784366207004,1.4719017696380616,tensor(63.2400)

24,2.2812355750661983,0.0,50.55826329322975,1.4153695893287659,tensor(64.0600)

25,2.2087545698256137,0.0,52.39172543189527,1.4373098492622376,tensor(63.1900)

26,2.2726895254286354,0.0,51.71953490995701,1.356097127199173,tensor(65.5300)

27,2.290072014722068,0.0,51.16503528204047,1.4189007103443145,tensor(65.3500)

28,2.196495984368922,0.0,52.98915765902156,1.3468631380796432,tensor(66.2500)

29,2.213766619982317,0.0,52.38238799265733,1.393687870502472,tensor(65.8600)

30,2.2162605226802095,0.0,52.20837484928599,1.3129512405395507,tensor(66.9500)

31,2.149276489034638,0.0,54.09472156305532,1.3801631724834442,tensor(67.0300)

32,2.1537123226448704,0.0,54.46009935555744,1.41378803730011,tensor(65.2800)

33,2.178461724839857,0.0,53.94395755393582,1.3039145374298096,tensor(67.2400)

34,2.1606888290866255,0.0,54.03123268519142,1.3186268854141234,tensor(66.9200)

