epoch,train loss,reg loss,train acc,test loss,test acc
0,4.353005028136856,0.0,tensor(3.6660),4.028911025524139,tensor(5.9000)
1,3.847808479957873,0.0,tensor(9.5400),3.640172092914581,tensor(12.9700)
2,3.4705396814419487,0.0,tensor(16.1940),3.437926514148712,tensor(18.2000)
3,3.0611098135828665,0.0,tensor(23.7920),3.024400284290314,tensor(25.3000)
4,2.615744117580716,0.0,tensor(32.3240),2.5887329840660094,tensor(33.5900)
5,2.2498444523043033,0.0,tensor(39.9940),2.3558165419101713,tensor(39.7400)
6,1.961703019678745,0.0,tensor(46.3820),2.0483670353889467,tensor(45.7500)
7,1.7239084182797795,0.0,tensor(52.1940),1.9088533186912537,tensor(48.8600)
8,1.5345135539998789,0.0,tensor(56.4840),1.7729665696620942,tensor(52.4500)
9,1.3809779672061695,0.0,tensor(60.5180),1.7154850494861602,tensor(54.3800)
10,1.241883696802437,0.0,tensor(64.1000),1.6255125510692596,tensor(56.4600)
11,1.1370780876530406,0.0,tensor(66.7480),1.5025960564613343,tensor(59.1600)
12,1.0329425440115088,0.0,tensor(69.3380),1.571181327700615,tensor(58.5500)
13,0.9401228729721225,0.0,tensor(71.8240),1.5703528869152068,tensor(58.7200)
14,0.8746786173957083,0.0,tensor(73.6400),1.4839114952087402,tensor(60.7400)
15,0.8085766696868955,0.0,tensor(75.3540),1.4672109806537628,tensor(62.4600)
16,0.7353347606213806,0.0,tensor(77.2400),1.4853697103261947,tensor(61.9200)
17,0.6849185666617226,0.0,tensor(78.8740),1.4733191579580307,tensor(62.6800)
18,0.6323733653711237,0.0,tensor(80.3360),1.5513177561759948,tensor(61.8400)
19,0.5847405591584227,0.0,tensor(81.7600),1.5947861325740815,tensor(61.7200)
20,0.5461744358167624,0.0,tensor(82.9860),1.5703305143117905,tensor(62.7000)
21,0.5087901212065421,0.0,tensor(83.9160),1.5499338853359221,tensor(63.1600)
22,0.45476080526781204,0.0,tensor(85.4900),1.5515998589992523,tensor(64.5200)
23,0.44632893107126437,0.0,tensor(85.7640),1.6560337662696838,tensor(63.3100)
24,0.4026397569176486,0.0,tensor(87.1360),1.5773341888189316,tensor(64.8800)
25,0.38499170633228236,0.0,tensor(87.7120),1.8167803013324737,tensor(61.0700)
26,0.3610934968418477,0.0,tensor(88.4420),1.6451552784442902,tensor(64.5800)
27,0.34998275015665137,0.0,tensor(88.7900),1.5947200214862824,tensor(64.5700)
28,0.31773999642075784,0.0,tensor(89.8080),1.6084274458885193,tensor(64.8600)
29,0.34416252698587335,0.0,tensor(89.0440),1.857703058719635,tensor(61.8600)
30,0.30163698588185905,0.0,tensor(90.4080),1.6434594869613648,tensor(65.6300)
31,0.2908247841517334,0.0,tensor(90.7600),1.6328009629249574,tensor(65.2400)
32,0.2621800664555081,0.0,tensor(91.5620),1.6408347237110137,tensor(65.1600)
33,0.2664307135793254,0.0,tensor(91.3700),1.7375601577758788,tensor(65.0700)
34,0.24646005324085654,0.0,tensor(92.1020),1.6998025590181352,tensor(65.0400)
35,0.24037388776955398,0.0,tensor(92.1180),1.700549852848053,tensor(65.2900)
36,0.23407716589891697,0.0,tensor(92.4420),1.6884012967348099,tensor(66.2500)
37,0.21850399457661393,0.0,tensor(92.9440),1.7713356661796569,tensor(64.4500)
38,0.23355306303866988,0.0,tensor(92.3820),1.9554102742671966,tensor(61.2700)
39,0.2212693728601841,0.0,tensor(92.9240),1.6678081637620925,tensor(64.9300)
40,0.21942102674709257,0.0,tensor(93.0500),1.7376028674840927,tensor(65.5100)
41,0.2242830875127212,0.0,tensor(92.7960),1.7332357144355774,tensor(65.0600)
